                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                0.75124,                 1.0588,                  1.104,                  0.845,                0.86685,                0.94048,                0.78155,                0.65603,                  1.151,                 1.1228,             0.00076306,             0.00076306,             0.00076306
                     35,                0.78746,                 1.1276,                 1.1671,                0.90501,                0.78241,                0.92012,                0.74758,                0.74039,                 1.2783,                 1.1826,             0.00077346,             0.00077346,             0.00077346
                     36,                0.80228,                 1.1684,                 1.1551,                0.90501,                0.78241,                0.92012,                0.74758,                0.74039,                 1.2783,                 1.1826,              0.0007832,              0.0007832,              0.0007832
                     37,                0.79012,                  1.181,                 1.1601,                0.84065,                0.76109,                0.87741,                0.64078,                0.91838,                 1.5657,                  1.318,             0.00079228,             0.00079228,             0.00079228
                     38,                0.83154,                 1.1443,                 1.1142,                 0.7416,                0.73926,                0.79278,                0.55749,                0.98314,                 1.6983,                 1.3714,              0.0008007,              0.0008007,              0.0008007
                     39,                0.85809,                 1.1735,                 1.2351,                 0.7416,                0.73926,                0.79278,                0.55749,                0.98314,                 1.6983,                 1.3714,             0.00080846,             0.00080846,             0.00080846
                     40,                0.76197,                 1.1336,                 1.1313,                0.83883,                0.56543,                0.77084,                0.59408,                0.82704,                 1.7698,                 1.2402,             0.00081556,             0.00081556,             0.00081556
                     41,                0.76092,                 1.0518,                  1.104,                0.82502,                 0.7055,                0.84393,                0.68806,                0.69898,                 1.5399,                 1.1354,               0.000822,               0.000822,               0.000822
                     42,                0.71431,                 1.1422,                 1.1179,                0.82502,                 0.7055,                0.84393,                0.68806,                0.69898,                 1.5399,                 1.1354,             0.00082778,             0.00082778,             0.00082778
                     43,                0.76706,                 1.1826,                 1.1431,                  0.823,                 0.7593,                0.88005,                0.70547,                0.67595,                 1.4437,                 1.1128,              0.0008329,              0.0008329,              0.0008329
                     44,                 0.7194,                 1.0426,                 1.0754,                  0.823,                 0.7593,                0.88005,                0.70547,                0.67595,                 1.4437,                 1.1128,             0.00083736,             0.00083736,             0.00083736
                     45,                0.72891,                  1.059,                 1.1037,                0.79153,                0.80401,                0.89573,                0.72801,                0.71121,                 1.3462,                 1.1459,             0.00084116,             0.00084116,             0.00084116
                     46,                0.75637,                 1.1357,                 1.1614,                0.79153,                0.80401,                0.89573,                0.72801,                0.71121,                 1.3462,                 1.1459,              0.0008443,              0.0008443,              0.0008443
                     47,                0.83666,                 1.1797,                 1.2237,                0.78995,                0.79646,                0.87938,                0.72365,                 0.6861,                 1.3971,                 1.1096,             0.00084678,             0.00084678,             0.00084678
                     48,                0.69519,                 1.0393,                 1.0883,                0.78995,                0.79646,                0.87938,                0.72365,                 0.6861,                 1.3971,                 1.1096,              0.0008486,              0.0008486,              0.0008486
                     49,                 0.7105,                 1.0716,                  1.147,                0.88692,                0.76085,                0.87933,                0.68557,                0.73983,                 1.5696,                 1.1454,             0.00084975,             0.00084975,             0.00084975
                     50,                0.74522,                 1.0167,                 1.0593,                0.88692,                0.76085,                0.87933,                0.68557,                0.73983,                 1.5696,                 1.1454,             0.00084184,             0.00084184,             0.00084184
                     51,                0.74513,                 1.0451,                 1.1125,                0.87407,                0.84355,                0.90975,                0.70538,                0.77971,                 1.5813,                 1.1705,             0.00084184,             0.00084184,             0.00084184
                     52,                0.75869,                 1.0889,                 1.1492,                0.87407,                0.84355,                0.90975,                0.70538,                0.77971,                 1.5813,                 1.1705,             0.00082533,             0.00082533,             0.00082533
                     53,                0.72172,                  1.008,                 1.0811,                0.94992,                0.79185,                 0.9342,                0.71074,                0.79375,                 1.4526,                 1.2019,             0.00080883,             0.00080883,             0.00080883
                     54,                0.74363,                 1.0957,                  1.173,                0.94992,                0.79185,                 0.9342,                0.71074,                0.79375,                 1.4526,                 1.2019,             0.00079233,             0.00079233,             0.00079233
                     55,                0.70875,                 1.0226,                 1.1194,                0.96049,                0.83492,                0.96661,                0.77728,                0.73595,                 1.2729,                 1.1602,             0.00077582,             0.00077582,             0.00077582
                     56,                0.73283,                 0.9679,                 1.0966,                0.96049,                0.83492,                0.96661,                0.77728,                0.73595,                 1.2729,                 1.1602,             0.00075932,             0.00075932,             0.00075932
                     57,                0.87031,                 1.0688,                 1.1691,                0.91675,                0.92696,                0.97797,                0.81749,                 0.6536,                 1.1394,                 1.0813,             0.00074282,             0.00074282,             0.00074282
                     58,                0.70882,                 1.0166,                  1.106,                0.91675,                0.92696,                0.97797,                0.81749,                 0.6536,                 1.1394,                 1.0813,             0.00072631,             0.00072631,             0.00072631
                     59,                0.75938,                  1.042,                 1.1379,                0.96526,                0.95353,                0.98576,                0.83496,                 0.6647,                  1.159,                 1.0735,             0.00070981,             0.00070981,             0.00070981
                     60,                0.71591,                 1.0545,                 1.1303,                0.96526,                0.95353,                0.98576,                0.83496,                 0.6647,                  1.159,                 1.0735,             0.00069331,             0.00069331,             0.00069331
                     61,                0.66033,                0.96232,                 1.0672,                0.93226,                0.94641,                 0.9824,                0.84383,                0.63076,                 1.1979,                 1.0573,              0.0006768,              0.0006768,              0.0006768
                     62,                0.68448,                0.95898,                 1.0456,                0.93226,                0.94641,                 0.9824,                0.84383,                0.63076,                 1.1979,                 1.0573,              0.0006603,              0.0006603,              0.0006603
                     63,                0.76799,                0.97052,                 1.1076,                0.85189,                0.98558,                0.98953,                0.86012,                0.58466,                 1.2245,                  1.019,              0.0006438,              0.0006438,              0.0006438
                     64,                0.65285,                 0.9022,                 1.0601,                0.85189,                0.98558,                0.98953,                0.86012,                0.58466,                 1.2245,                  1.019,             0.00062729,             0.00062729,             0.00062729
                     65,                0.67308,                0.96361,                 1.0939,                0.89964,                0.95382,                0.98811,                0.85388,                0.56874,                 1.1631,                0.99986,             0.00061079,             0.00061079,             0.00061079
                     66,                0.73512,                 1.0283,                 1.1207,                0.89964,                0.95382,                0.98811,                0.85388,                0.56874,                 1.1631,                0.99986,             0.00059429,             0.00059429,             0.00059429
